robot,task,mission,start,end,duration,bucket_start,bucket_end
0,12,0,1.291579,6.291579,5.000000,0,0
0,15,0,6.539503,8.539503,2.000000,0,0
0,11,0,10.000000,15.000000,5.000000,1,1
0,0,0,20.000000,24.000000,4.000000,2,2
0,16,1,30.000000,35.000000,5.000000,3,3
1,2,2,1.583163,5.583163,4.000000,0,0
1,10,0,10.000000,15.000000,5.000000,1,1
1,17,1,20.000000,25.000000,5.000000,2,2
1,4,1,30.000000,35.000000,5.000000,3,3
2,5,2,0.926609,3.926609,3.000000,0,0
2,14,2,5.385979,8.385979,3.000000,0,0
2,18,2,10.405935,13.405935,3.000000,1,1
2,1,1,20.000000,22.000000,2.000000,2,2
2,7,1,24.637002,27.637002,3.000000,2,2
2,3,1,30.000000,33.000000,3.000000,3,3
3,13,0,2.367919,7.367919,5.000000,0,0
3,9,0,10.000000,14.000000,4.000000,1,1
3,8,0,15.950565,19.950565,4.000000,1,1
3,19,1,22.648349,25.648349,3.000000,2,2
3,6,1,30.000000,34.000000,4.000000,3,3
